city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,property_tax
1,46,1,1,1,0.14285714285714285,0,0,0.004694835680751174,0.0016002844950213373
4,142,3,4,3,2.5714285714285716,0,0,1.3568075117370892,0.014224751066856332
4,73,2,2,1,1.8571428571428572,1,0,-0.004694835680751174,0.003733997155049787
3,87,2,2,1,0.7142857142857143,0,1,0.2544600938967136,0.007788051209103842
3,90,2,1,0,0.0,1,0,0.3615023474178404,0.008321479374110954
4,96,2,1,2,0.0,1,0,0.3051643192488263,0.002844950213371266
4,97,3,2,2,1.5714285714285714,1,0,0.9812206572769953,0.004445234708392603
4,65,2,2,2,0.5714285714285714,1,0,0.8873239436619719,0.017780938833570414
4,61,2,2,1,-0.2857142857142857,1,0,0.30985915492957744,0.004623044096728307
4,100,3,1,0,-0.2857142857142857,1,0,-0.051643192488262914,0.011877667140825037
2,47,1,1,1,-0.2857142857142857,0,1,-0.14553990610328638,0.0
4,117,2,1,1,0.2857142857142857,0,1,0.15492957746478872,0.0003911806543385491
4,62,2,1,1,0.0,1,0,-0.19248826291079812,0.0019559032716927457
0,130,4,1,3,-0.42857142857142855,0,0,-0.5211267605633803,0.0
4,190,3,4,3,-0.14285714285714285,1,0,3.0469483568075115,0.04299431009957326
3,115,3,2,2,0.2857142857142857,1,0,0.8544600938967136,0.0050142247510668566
3,78,2,1,1,0.7142857142857143,1,0,0.4169014084507042,0.004445234708392603
4,110,3,2,1,-0.2857142857142857,0,1,0.5793427230046948,0.00686344238975818
1,245,4,3,2,0.8571428571428571,1,0,1.4507042253521127,0.005938833570412519
3,64,1,1,0,0.5714285714285714,1,0,0.107981220657277,0.003733997155049787
3,95,3,2,1,0.42857142857142855,1,0,0.13802816901408452,0.002702702702702703
4,40,1,1,1,0.2857142857142857,1,0,-0.19248826291079812,0.0
3,153,4,3,1,-0.42857142857142855,1,0,-0.5211267605633803,0.004302987197724041
2,47,1,1,1,-0.2857142857142857,0,1,-0.14553990610328638,0.0
4,119,3,4,3,1.5714285714285714,1,0,0.2300469483568075,0.0010668563300142249
4,132,3,4,2,1.0,1,0,0.7981220657276995,0.011273115220483642
4,170,3,3,3,0.7142857142857143,1,1,0.9530516431924883,0.02304409672830726
2,65,2,1,0,0.0,1,0,-0.38967136150234744,0.0007467994310099574
2,70,3,2,0,-0.14285714285714285,1,1,-0.23943661971830985,0.002098150782361309
4,46,1,1,1,0.5714285714285714,1,0,-0.09859154929577464,0.0
4,240,4,5,3,0.14285714285714285,1,0,2.7652582159624415,0.044452347083926036
4,20,1,1,0,-0.2857142857142857,1,1,0.044131455399061034,0.004623044096728307
2,76,1,1,0,-0.42857142857142855,1,0,-0.3248826291079812,0.0018492176386913231
4,360,4,5,4,-0.14285714285714285,1,1,4.568075117370892,0.09882645803698437
2,80,2,1,1,-0.2857142857142857,1,0,-0.3333333333333333,0.002489331436699858
0,52,2,1,1,0.14285714285714285,0,0,-0.352112676056338,0.0
4,170,3,3,4,-0.42857142857142855,1,0,-0.5211267605633803,0.007894736842105263
4,55,2,1,1,0.0,1,0,-0.05539906103286385,0.0
4,375,4,4,3,2.2857142857142856,1,1,1.8262910798122065,0.03261024182076814
4,50,1,1,0,-0.42857142857142855,1,0,-0.5211267605633803,0.0
0,30,1,1,0,-0.2857142857142857,0,0,-0.5211267605633803,0.0023115220483641537
4,460,4,4,6,-0.42857142857142855,1,0,-0.5211267605633803,0.023719772403982934
4,120,3,2,2,0.7142857142857143,1,0,0.17370892018779344,0.008463726884779517
4,140,2,3,1,-0.42857142857142855,1,0,-0.5211267605633803,0.005334281650071124
4,260,3,5,3,0.0,1,0,3.6103286384976525,0.004765291607396871
1,85,3,2,2,0.8571428571428571,1,0,0.6291079812206573,0.0064722617354196306
4,131,4,4,2,1.1428571428571428,1,0,0.7934272300469484,0.011273115220483642
4,50,1,1,0,0.5714285714285714,1,0,-0.1568075117370892,0.0
0,75,3,1,1,0.14285714285714285,1,0,-0.27417840375586855,0.0021692745376955904
4,300,4,5,6,-0.42857142857142855,1,1,-0.5211267605633803,0.0641891891891892
2,90,2,2,1,0.0,0,0,-0.14553990610328638,0.002844950213371266
2,71,2,1,0,-0.42857142857142855,1,0,-0.25821596244131456,0.0012091038406827881
4,25,1,1,0,2.857142857142857,1,0,-0.11549295774647887,0.0016002844950213373
4,84,2,3,2,3.142857142857143,1,1,0.07417840375586854,0.005867709815078236
3,94,3,1,1,0.5714285714285714,1,1,0.18309859154929578,0.004338549075391181
4,380,4,2,6,-0.42857142857142855,1,0,-0.5211267605633803,0.018669985775248935
4,108,3,2,1,1.0,1,0,0.41784037558685444,0.008534850640113799
1,100,2,1,0,1.8571428571428572,1,0,-0.004694835680751174,0.0021692745376955904
4,132,3,2,3,-0.42857142857142855,1,0,-0.5211267605633803,0.002098150782361309
2,40,1,1,1,0.8571428571428571,0,1,0.6995305164319249,0.0024182076813655763
4,450,5,4,3,-0.42857142857142855,1,0,-0.5211267605633803,0.04270981507823614
4,400,4,4,4,-0.42857142857142855,1,0,-0.5211267605633803,0.044452347083926036
4,165,3,3,3,-0.14285714285714285,1,0,1.0375586854460095,0.027275960170697014
4,365,3,4,3,1.7142857142857142,1,0,2.9530516431924885,0.044452347083926036
4,1100,4,6,10,-0.42857142857142855,1,0,2.295774647887324,0.07112375533428165
3,296,3,2,1,1.2857142857142858,1,0,0.7934272300469484,0.03015647226173542
2,100,3,2,2,-0.42857142857142855,1,0,-0.5201877934272301,0.0029871977240398294
4,75,2,2,0,-0.2857142857142857,0,0,0.18309859154929578,0.0051920341394025606
0,202,3,2,2,-0.42857142857142855,0,0,-0.5211267605633803,0.0061166429587482226
3,320,3,4,1,1.1428571428571428,0,0,1.5446009389671362,0.010384068278805121
4,131,3,2,1,1.5714285714285714,1,0,1.0610328638497653,0.007005689900426743
